date,max,min
2024-07-24,38.3,18.7
2024-07-25,36.9,19.9
2024-07-26,36.5,19.4
2024-07-27,36.5,20.5
2024-07-28,36.5,20.0
2024-07-29,33.1,20.6
2024-07-30,34.6,19.9
2024-07-31,35.1,17.4
2024-08-01,35.2,19.9
2024-08-02,31.4,17.4
2024-08-03,34.1,16.8
2024-08-04,36.0,18.6
2024-08-05,35.5,18.4
2024-08-06,34.7,17.8
2024-08-07,35.9,17.6
2024-08-08,37.0,18.4
2024-08-09,38.4,19.8
2024-08-10,39.1,19.8
2024-08-11,36.2,19.5
2024-08-12,34.6,20.0
2024-08-13,27.5,16.6
2024-08-14,29.5,15.3
2024-08-15,30.4,13.0
2024-08-16,33.6,13.1
2024-08-17,34.3,16.2
2024-08-18,32.3,18.4
2024-08-19,33.9,16.0
2024-08-20,33.9,16.7
2024-08-21,34.8,16.6
2024-08-22,35.1,18.2
2024-08-23,34.3,16.3
2024-08-24,32.4,17.4
2024-08-25,30.9,15.1
2024-08-26,31.8,12.6
2024-08-27,34.5,15.4
2024-08-28,33.3,15.5
2024-08-29,31.6,17.3
2024-08-30,32.3,16.1
2024-08-31,30.0,17.5
2024-09-01,29.9,16.1
2024-09-02,29.7,16.2
2024-09-03,27.4,16.6
2024-09-04,26.3,14.8
2024-09-05,23.7,12.5
2024-09-06,22.3,9.7
2024-09-07,24.1,9.0
2024-09-08,25.5,12.9
2024-09-09,27.9,10.4
2024-09-10,28.7,12.4
2024-09-11,26.6,12.1
2024-09-12,27.3,12.6
2024-09-13,23.1,10.3
2024-09-14,26.8,7.1
2024-09-15,28.9,9.0
2024-09-16,28.9,9.1
2024-09-17,25.1,10.0
2024-09-18,27.3,9.8
2024-09-19,24.9,14.4
2024-09-20,22.4,14.4
2024-09-21,20.8,13.5
2024-09-22,22.9,10.3
2024-09-23,22.9,11.9
2024-09-24,17.5,11.1
2024-09-25,24.3,14.3
2024-09-26,23.0,12.5
2024-09-27,18.7,9.7
2024-09-28,20.7,5.3
2024-09-29,26.6,6.1
2024-09-30,28.8,8.3
2024-10-01,26.4,13.6
2024-10-02,21.3,16.7
2024-10-03,22.8,15.3
2024-10-04,23.5,12.6
2024-10-05,25.2,11.7
2024-10-06,20.3,15.5
2024-10-07,18.0,11.2
2024-10-08,18.5,10.9
2024-10-09,22.8,11.7
2024-10-10,19.6,8.5
2024-10-11,19.4,8.0
2024-10-12,21.5,14.2
2024-10-13,23.5,11.5
2024-10-14,22.4,10.3
2024-10-15,17.7,14.4
2024-10-16,21.0,12.3
2024-10-17,16.0,8.8
2024-10-18,16.0,6.8
2024-10-19,19.0,11.8
2024-10-20,22.3,11.2
2024-10-21,22.3,8.1
2024-10-22,21.6,11.8
2024-10-23,24.0,8.8
2024-10-24,22.4,8.4
2024-10-25,15.4,5.7
2024-10-26,10.9,4.2
2024-10-27,10.5,5.5
2024-10-28,18.5,8.7
2024-10-29,16.7,9.5
2024-10-30,19.7,10.1
2024-10-31,18.1,11.3
2024-11-01,20.8,9.3
2024-11-02,19.6,7.9
2024-11-03,22.0,6.1
2024-11-04,21.5,7.6
2024-11-05,19.4,10.8
2024-11-06,22.5,8.5
2024-11-07,21.8,6.8
2024-11-08,20.5,8.4
2024-11-09,19.0,8.8
2024-11-10,15.5,9.7
2024-11-11,16.6,6.7
2024-11-12,14.6,3.5
2024-11-13,11.0,2.9
2024-11-14,17.5,9.5
2024-11-15,19.2,10.2
2024-11-16,18.8,7.5
2024-11-17,20.0,4.1
2024-11-18,20.6,6.9
2024-11-19,16.5,6.1
2024-11-20,14.7,8.2
2024-11-21,12.6,9.8
2024-11-22,13.6,8.0
2024-11-23,17.8,8.5
2024-11-24,19.1,9.9
2024-11-25,17.0,6.1
2024-11-26,11.3,3.2
2024-11-27,16.1,0.1
2024-11-28,17.2,0.8
2024-11-29,19.4,5.7
2024-11-30,20.5,6.0
2024-12-01,19.8,6.0
2024-12-02,18.7,6.7
2024-12-03,10.6,4.6
2024-12-04,15.0,6.9
2024-12-05,15.6,4.4
2024-12-06,12.0,8.9
2024-12-07,15.2,2.2
2024-12-08,12.0,1.0
2024-12-09,10.3,0.0
2024-12-10,9.5,-1.8
2024-12-11,6.8,-1.4
2024-12-12,11.7,-0.8
2024-12-13,9.5,0.8
2024-12-14,12.4,-0.9
2024-12-15,10.9,-3.2
2024-12-16,8.8,-1.6
2024-12-17,13.7,-1.0
2024-12-18,15.7,1.2
2024-12-19,14.2,4.2
2024-12-20,9.7,-0.4
2024-12-21,10.7,-3.1
2024-12-22,13.4,-1.5
2024-12-23,10.5,-1.5
2024-12-24,10.0,-0.1
2024-12-25,7.4,1.9
2024-12-26,15.1,-0.3
2024-12-27,5.3,0.2
2024-12-28,5.1,2.1
2024-12-29,2.4,-0.1
2024-12-30,2.9,-1.6
2024-12-31,1.0,-1.8
2025-01-01,3.2,-2.0
2025-01-02,11.1,-2.6
2025-01-03,12.5,2.1
2025-01-04,12.7,1.4
2025-01-05,12.1,9.4
2025-01-06,10.8,3.2
2025-01-07,9.8,2.4
2025-01-08,11.5,8.3
2025-01-09,14.8,8.6
2025-01-10,15.4,9.6
2025-01-11,16.4,5.8
2025-01-12,12.5,2.1
2025-01-13,10.1,-2.5
2025-01-14,11.4,-6.0
2025-01-15,12.6,-6.0
2025-01-16,12.8,-3.3
2025-01-17,10.8,-1.8
2025-01-18,12.8,-4.1
2025-01-19,12.2,-3.6
2025-01-20,14.3,5.6
2025-01-21,13.0,9.2
2025-01-22,14.8,8.3
2025-01-23,15.3,6.6
2025-01-24,12.7,7.8
2025-01-25,12.6,5.0
2025-01-26,14.1,5.0
2025-01-27,14.2,3.6
2025-01-28,9.0,2.5
2025-01-29,8.8,4.2
2025-01-30,10.7,2.2
